id,generation,name,types,supertype,subtypes,hp,evolvesTo,rarity,attack_name,AVG_damage,gerarchic
base1-35,First,Magikarp,['Water'],Pokémon,['Basic'],30.0,['Gyarados'],Uncommon,Tackle|Flail,10,"Magikarp, Gyarados"
base1-36,First,Magmar,['Fire'],Pokémon,['Basic'],50.0,['Magmortar'],Uncommon,Fire Punch|Flamethrower,40,"Magmar, Magmortar"
base1-37,First,Nidorino,['Grass'],Pokémon,['Stage 1'],60.0,['Nidoking'],Uncommon,Double Kick|Horn Drill,50,
base1-38,First,Poliwhirl,['Water'],Pokémon,['Stage 1'],60.0,"['Poliwrath', 'Politoed']",Uncommon,Amnesia|Doubleslap,32,
base1-39,First,Porygon,['Colorless'],Pokémon,['Basic'],30.0,['Porygon2'],Uncommon,Conversion 1|Conversion 2,32,"Porygon, Porygon2, Porygon-Z"
base1-40,First,Raticate,['Colorless'],Pokémon,['Stage 1'],60.0,,Uncommon,Bite|Super Fang,20,
base1-41,First,Seel,['Water'],Pokémon,['Basic'],60.0,['Dewgong'],Uncommon,Headbutt,10,"Seel, Dewgong"
base1-42,First,Wartortle,['Water'],Pokémon,['Stage 1'],70.0,['Blastoise'],Uncommon,Withdraw|Bite,40,
base1-43,First,Abra,['Psychic'],Pokémon,['Basic'],30.0,['Kadabra'],Common,Psyshock,10,"Abra, Kadabra, Alakazam"
base1-44,First,Bulbasaur,['Grass'],Pokémon,['Basic'],40.0,['Ivysaur'],Common,Leech Seed,20,"Bulbasaur, Ivysaur, Venusaur"
base1-45,First,Caterpie,['Grass'],Pokémon,['Basic'],40.0,['Metapod'],Common,String Shot,10,"Caterpie, Metapod, Butterfree"
base1-46,First,Charmander,['Fire'],Pokémon,['Basic'],50.0,['Charmeleon'],Common,Scratch|Ember,20,"Charmander, Charmeleon, Charizard"
base1-47,First,Diglett,['Fighting'],Pokémon,['Basic'],30.0,['Dugtrio'],Common,Dig|Mud Slap,20,"Diglett, Dugtrio"
base1-48,First,Doduo,['Colorless'],Pokémon,['Basic'],50.0,['Dodrio'],Common,Fury Attack,32,"Doduo, Dodrio"
base1-49,First,Drowzee,['Psychic'],Pokémon,['Basic'],50.0,['Hypno'],Common,Pound|Confuse Ray,10,"Drowzee, Hypno"
base1-50,First,Gastly,['Psychic'],Pokémon,['Basic'],30.0,['Haunter'],Common,Sleeping Gas|Destiny Bond,32,"Gastly, Haunter, Gengar"
base1-51,First,Koffing,['Grass'],Pokémon,['Basic'],50.0,['Weezing'],Common,Foul Gas,10,"Koffing, Weezing"
base1-52,First,Machop,['Fighting'],Pokémon,['Basic'],50.0,['Machoke'],Common,Low Kick,20,"Machop, Machoke, Machamp"
base1-53,First,Magnemite,['Lightning'],Pokémon,['Basic'],40.0,['Magneton'],Common,Thunder Wave|Selfdestruct,25,"Magnemite, Magneton, Magnezone"
base1-54,First,Metapod,['Grass'],Pokémon,['Stage 1'],70.0,['Butterfree'],Common,Stiffen|Stun Spore,20,
base1-55,First,Nidoran ♂,['Grass'],Pokémon,['Basic'],40.0,['Nidorino'],Common,Horn Hazard,30,"Nidoran ♂, Nidorino, Nidoking"
base1-56,First,Onix,['Fighting'],Pokémon,['Basic'],90.0,['Steelix'],Common,Rock Throw|Harden,10,"Onix, Steelix"
base1-57,First,Pidgey,['Colorless'],Pokémon,['Basic'],40.0,['Pidgeotto'],Common,Whirlwind,10,"Pidgey, Pidgeotto, Pidgeot"
base1-58,First,Pikachu,['Lightning'],Pokémon,['Basic'],40.0,['Raichu'],Common,Gnaw|Thunder Jolt,20,"Pikachu, Raichu"
base1-59,First,Poliwag,['Water'],Pokémon,['Basic'],40.0,['Poliwhirl'],Common,Water Gun,32,"Poliwag, Poliwhirl, Poliwrath, Politoed"
base1-60,First,Ponyta,['Fire'],Pokémon,['Basic'],40.0,['Rapidash'],Common,Smash Kick|Flame Tail,25,"Ponyta, Rapidash"
base1-61,First,Rattata,['Colorless'],Pokémon,['Basic'],30.0,['Raticate'],Common,Bite,20,"Rattata, Raticate"
base1-62,First,Sandshrew,['Fighting'],Pokémon,['Basic'],40.0,['Sandslash'],Common,Sand-attack,10,"Sandshrew, Sandslash"
base1-63,First,Squirtle,['Water'],Pokémon,['Basic'],40.0,['Wartortle'],Common,Bubble|Withdraw,10,"Squirtle, Wartortle, Blastoise"
base1-64,First,Starmie,['Water'],Pokémon,['Stage 1'],60.0,,Common,Recover|Star Freeze,20,
base1-65,First,Staryu,['Water'],Pokémon,['Basic'],40.0,['Starmie'],Common,Slap,20,"Staryu, Starmie"
base1-66,First,Tangela,['Grass'],Pokémon,['Basic'],50.0,['Tangrowth'],Common,Bind|Poisonpowder,20,"Tangela, Tangrowth"
base1-67,First,Voltorb,['Lightning'],Pokémon,['Basic'],40.0,['Electrode'],Common,Tackle,10,"Voltorb, Electrode"
base1-68,First,Vulpix,['Fire'],Pokémon,['Basic'],50.0,['Ninetales'],Common,Confuse Ray,10,"Vulpix, Ninetales"
base1-69,First,Weedle,['Grass'],Pokémon,['Basic'],40.0,['Kakuna'],Common,Poison Sting,10,"Weedle, Kakuna, Beedrill"
base2-1,First,Clefable,['Colorless'],Pokémon,['Stage 1'],70.0,,Rare Holo,Metronome|Minimize,32,
base2-2,First,Electrode,['Lightning'],Pokémon,['Stage 1'],90.0,,Rare Holo,Tackle|Chain Lightning,20,
base2-3,First,Flareon,['Fire'],Pokémon,['Stage 1'],70.0,,Rare Holo,Quick Attack|Flamethrower,60,
base2-4,First,Jolteon,['Lightning'],Pokémon,['Stage 1'],70.0,,Rare Holo,Quick Attack|Pin Missile,32,
base2-5,First,Kangaskhan,['Colorless'],Pokémon,['Basic'],90.0,,Rare Holo,Fetch|Comet Punch,32,Kangaskhan
base2-6,First,Mr. Mime,['Psychic'],Pokémon,['Basic'],40.0,,Rare Holo,Meditate,32,Mr. Mime
base2-7,First,Nidoqueen,['Grass'],Pokémon,['Stage 2'],90.0,,Rare Holo,Boyfriends|Mega Punch,50,
base2-8,First,Pidgeot,['Colorless'],Pokémon,['Stage 2'],80.0,,Rare Holo,Wing Attack|Hurricane,25,
base2-9,First,Pinsir,['Grass'],Pokémon,['Basic'],60.0,,Rare Holo,Irongrip|Guillotine,35,Pinsir
base2-10,First,Scyther,['Grass'],Pokémon,['Basic'],70.0,['Scizor'],Rare Holo,Swords Dance|Slash,30,"Scyther, Scizor, Kleavor"
base2-11,First,Snorlax,['Colorless'],Pokémon,['Basic'],90.0,,Rare Holo,Body Slam,30,Snorlax
base2-12,First,Vaporeon,['Water'],Pokémon,['Stage 1'],80.0,,Rare Holo,Quick Attack|Water Gun,32,
base2-13,First,Venomoth,['Grass'],Pokémon,['Stage 1'],70.0,,Rare Holo,Venom Powder,10,
base2-14,First,Victreebel,['Grass'],Pokémon,['Stage 2'],80.0,,Rare Holo,Lure|Acid,20,
base2-15,First,Vileplume,['Grass'],Pokémon,['Stage 2'],80.0,,Rare Holo,Petal Dance,32,
base2-16,First,Wigglytuff,['Colorless'],Pokémon,['Stage 1'],80.0,,Rare Holo,Lullaby|Do the Wave,32,
base2-17,First,Clefable,['Colorless'],Pokémon,['Stage 1'],70.0,,Rare,Metronome|Minimize,32,
base2-18,First,Electrode,['Lightning'],Pokémon,['Stage 1'],90.0,,Rare,Tackle|Chain Lightning,20,
base2-19,First,Flareon,['Fire'],Pokémon,['Stage 1'],70.0,,Rare,Quick Attack|Flamethrower,60,
base2-20,First,Jolteon,['Lightning'],Pokémon,['Stage 1'],70.0,,Rare,Quick Attack|Pin Missile,32,
base2-21,First,Kangaskhan,['Colorless'],Pokémon,['Basic'],90.0,,Rare,Fetch|Comet Punch,32,Kangaskhan
base2-22,First,Mr. Mime,['Psychic'],Pokémon,['Basic'],40.0,,Rare,Meditate,32,Mr. Mime
base2-23,First,Nidoqueen,['Grass'],Pokémon,['Stage 2'],90.0,,Rare,Boyfriends|Mega Punch,50,
base2-24,First,Pidgeot,['Colorless'],Pokémon,['Stage 2'],80.0,,Rare,Wing Attack|Hurricane,25,
base2-25,First,Pinsir,['Grass'],Pokémon,['Basic'],60.0,,Rare,Irongrip|Guillotine,35,Pinsir
base2-26,First,Scyther,['Grass'],Pokémon,['Basic'],70.0,['Scizor'],Rare,Swords Dance|Slash,30,"Scyther, Scizor, Kleavor"
base2-27,First,Snorlax,['Colorless'],Pokémon,['Basic'],90.0,,Rare,Body Slam,30,Snorlax
base2-28,First,Vaporeon,['Water'],Pokémon,['Stage 1'],80.0,,Rare,Quick Attack|Water Gun,32,
base2-29,First,Venomoth,['Grass'],Pokémon,['Stage 1'],70.0,,Rare,Venom Powder,10,
base2-30,First,Victreebel,['Grass'],Pokémon,['Stage 2'],80.0,,Rare,Lure|Acid,20,
base2-31,First,Vileplume,['Grass'],Pokémon,['Stage 2'],80.0,,Rare,Petal Dance,32,
base2-32,First,Wigglytuff,['Colorless'],Pokémon,['Stage 1'],80.0,,Rare,Lullaby|Do the Wave,32,
base2-33,First,Butterfree,['Grass'],Pokémon,['Stage 2'],70.0,,Uncommon,Whirlwind|Mega Drain,30,
base2-34,First,Dodrio,['Colorless'],Pokémon,['Stage 1'],70.0,,Uncommon,Rage,32,
base2-35,First,Exeggutor,['Grass'],Pokémon,['Stage 1'],80.0,,Uncommon,Teleport|Big Eggsplosion,32,
base2-36,First,Fearow,['Colorless'],Pokémon,['Stage 1'],70.0,,Uncommon,Agility|Drill Peck,30,
base2-37,First,Gloom,['Grass'],Pokémon,['Stage 1'],60.0,"['Vileplume', 'Bellossom']",Uncommon,Poisonpowder|Foul Odor,20,
base2-38,First,Lickitung,['Colorless'],Pokémon,['Basic'],90.0,['Lickilicky'],Uncommon,Tongue Wrap|Supersonic,10,"Lickitung, Lickilicky"
base2-39,First,Marowak,['Fighting'],Pokémon,['Stage 1'],60.0,,Uncommon,Bonemerang|Call for Friend,32,
base2-40,First,Nidorina,['Grass'],Pokémon,['Stage 1'],70.0,['Nidoqueen'],Uncommon,Supersonic|Double Kick,32,
base2-41,First,Parasect,['Grass'],Pokémon,['Stage 1'],60.0,,Uncommon,Spore|Slash,30,
base2-42,First,Persian,['Colorless'],Pokémon,['Stage 1'],70.0,,Uncommon,Scratch|Pounce,25,
base2-43,First,Primeape,['Fighting'],Pokémon,['Stage 1'],70.0,,Uncommon,Fury Swipes|Tantrum,50,
base2-44,First,Rapidash,['Fire'],Pokémon,['Stage 1'],70.0,,Uncommon,Stomp|Agility,30,
base2-45,First,Rhydon,['Fighting'],Pokémon,['Stage 1'],100.0,['Rhyperior'],Uncommon,Horn Attack|Ram,40,
base2-46,First,Seaking,['Water'],Pokémon,['Stage 1'],70.0,,Uncommon,Horn Attack|Waterfall,20,
base2-47,First,Tauros,['Colorless'],Pokémon,['Basic'],60.0,,Uncommon,Stomp|Rampage,32,Tauros
base2-48,First,Weepinbell,['Grass'],Pokémon,['Stage 1'],70.0,['Victreebel'],Uncommon,Poisonpowder|Razor Leaf,20,
base2-49,First,Bellsprout,['Grass'],Pokémon,['Basic'],40.0,['Weepinbell'],Common,Vine Whip|Call for Family,10,"Bellsprout, Weepinbell, Victreebel"
base2-50,First,Cubone,['Fighting'],Pokémon,['Basic'],40.0,['Marowak'],Common,Snivel|Rage,32,"Cubone, Marowak"
base2-51,First,Eevee,['Colorless'],Pokémon,['Basic'],50.0,"['Vaporeon', 'Jolteon', 'Flareon', 'Sylveon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon']",Common,Tail Wag|Quick Attack,32,"Eevee, Vaporeon, Jolteon, Flareon, Sylveon, Espeon, Umbreon, Leafeon, Glaceon"
base2-52,First,Exeggcute,['Grass'],Pokémon,['Basic'],50.0,['Exeggutor'],Common,Hypnosis|Leech Seed,20,"Exeggcute, Exeggutor"
base2-53,First,Goldeen,['Water'],Pokémon,['Basic'],40.0,['Seaking'],Common,Horn Attack,10,"Goldeen, Seaking"
base2-54,First,Jigglypuff,['Colorless'],Pokémon,['Basic'],60.0,['Wigglytuff'],Common,Lullaby|Pound,20,"Jigglypuff, Wigglytuff"
base2-55,First,Mankey,['Fighting'],Pokémon,['Basic'],30.0,['Primeape'],Common,Scratch,10,"Mankey, Primeape"
base2-56,First,Meowth,['Colorless'],Pokémon,['Basic'],50.0,['Persian'],Common,Pay Day,10,"Meowth, Persian"
base2-57,First,Nidoran ♀,['Grass'],Pokémon,['Basic'],60.0,['Nidorina'],Common,Fury Swipes|Call for Family,32,"Nidoran ♀, Nidorina, Nidoqueen"
base2-58,First,Oddish,['Grass'],Pokémon,['Basic'],50.0,['Gloom'],Common,Stun Spore|Sprout,10,"Oddish, Gloom, Vileplume, Bellossom"
base2-59,First,Paras,['Grass'],Pokémon,['Basic'],40.0,['Parasect'],Common,Scratch|Spore,20,"Paras, Parasect"
base2-60,First,Pikachu,['Lightning'],Pokémon,['Basic'],50.0,['Raichu'],Common,Spark,20,"Pikachu, Raichu"
base2-61,First,Rhyhorn,['Fighting'],Pokémon,['Basic'],70.0,['Rhydon'],Common,Leer|Horn Attack,30,"Rhyhorn, Rhydon, Rhyperior"
base2-62,First,Spearow,['Colorless'],Pokémon,['Basic'],50.0,['Fearow'],Common,Peck|Mirror Move,10,"Spearow, Fearow"
base2-63,First,Venonat,['Grass'],Pokémon,['Basic'],40.0,['Venomoth'],Common,Stun Spore|Leech Life,10,"Venonat, Venomoth"
base3-1,First,Aerodactyl,['Fighting'],Pokémon,['Stage 1'],60.0,,Rare Holo,Wing Attack,30,
base3-2,First,Articuno,['Water'],Pokémon,['Basic'],70.0,,Rare Holo,Freeze Dry|Blizzard,40,Articuno
base3-3,First,Ditto,['Colorless'],Pokémon,['Basic'],50.0,,Rare Holo,,32,Ditto
base3-4,First,Dragonite,['Colorless'],Pokémon,['Stage 2'],100.0,,Rare Holo,Slam,32,
base3-5,First,Gengar,['Psychic'],Pokémon,['Stage 2'],80.0,,Rare Holo,Dark Mind,30,
base3-6,First,Haunter,['Psychic'],Pokémon,['Stage 1'],50.0,['Gengar'],Rare Holo,Nightmare,10,
base3-7,First,Hitmonlee,['Fighting'],Pokémon,['Basic'],60.0,,Rare Holo,Stretch Kick|High Jump Kick,50,Hitmonlee
base3-8,First,Hypno,['Psychic'],Pokémon,['Stage 1'],90.0,,Rare Holo,Prophecy|Dark Mind,30,
base3-9,First,Kabutops,['Fighting'],Pokémon,['Stage 2'],60.0,,Rare Holo,Sharp Sickle|Absorb,35,
base3-10,First,Lapras,['Water'],Pokémon,['Basic'],80.0,,Rare Holo,Water Gun|Confuse Ray,10,Lapras
base3-11,First,Magneton,['Lightning'],Pokémon,['Stage 1'],80.0,['Magnezone'],Rare Holo,Sonicboom|Selfdestruct,60,
base3-12,First,Moltres,['Fire'],Pokémon,['Basic'],70.0,,Rare Holo,Wildfire|Dive Bomb,80,Moltres
base3-13,First,Muk,['Grass'],Pokémon,['Stage 1'],70.0,,Rare Holo,Sludge,30,
base3-14,First,Raichu,['Lightning'],Pokémon,['Stage 1'],90.0,,Rare Holo,Gigashock,30,
base3-15,First,Zapdos,['Lightning'],Pokémon,['Basic'],80.0,,Rare Holo,Thunderstorm,40,Zapdos
base3-16,First,Aerodactyl,['Fighting'],Pokémon,['Stage 1'],60.0,,Rare,Wing Attack,30,
base3-17,First,Articuno,['Water'],Pokémon,['Basic'],70.0,,Rare,Freeze Dry|Blizzard,40,Articuno
base3-18,First,Ditto,['Colorless'],Pokémon,['Basic'],50.0,,Rare,,32,Ditto
base3-19,First,Dragonite,['Colorless'],Pokémon,['Stage 2'],100.0,,Rare,Slam,32,
base3-20,First,Gengar,['Psychic'],Pokémon,['Stage 2'],80.0,,Rare,Dark Mind,30,
base3-21,First,Haunter,['Psychic'],Pokémon,['Stage 1'],50.0,['Gengar'],Rare,Nightmare,10,
base3-22,First,Hitmonlee,['Fighting'],Pokémon,['Basic'],60.0,,Rare,Stretch Kick|High Jump Kick,50,Hitmonlee
base3-23,First,Hypno,['Psychic'],Pokémon,['Stage 1'],90.0,,Rare,Prophecy|Dark Mind,30,
base3-24,First,Kabutops,['Fighting'],Pokémon,['Stage 2'],60.0,,Rare,Sharp Sickle|Absorb,35,
base3-25,First,Lapras,['Water'],Pokémon,['Basic'],80.0,,Rare,Water Gun|Confuse Ray,10,Lapras
base3-26,First,Magneton,['Lightning'],Pokémon,['Stage 1'],80.0,['Magnezone'],Rare,Sonicboom|Selfdestruct,60,
base3-27,First,Moltres,['Fire'],Pokémon,['Basic'],70.0,,Rare,Wildfire|Dive Bomb,80,Moltres
base3-28,First,Muk,['Grass'],Pokémon,['Stage 1'],70.0,,Rare,Sludge,30,
base3-29,First,Raichu,['Lightning'],Pokémon,['Stage 1'],90.0,,Rare,Gigashock,30,
base3-30,First,Zapdos,['Lightning'],Pokémon,['Basic'],80.0,,Rare,Thunderstorm,40,Zapdos
base3-31,First,Arbok,['Grass'],Pokémon,['Stage 1'],60.0,,Uncommon,Terror Strike|Poison Fang,15,
base3-32,First,Cloyster,['Water'],Pokémon,['Stage 1'],50.0,,Uncommon,Clamp|Spike Cannon,30,
base3-33,First,Gastly,['Psychic'],Pokémon,['Basic'],50.0,['Haunter'],Uncommon,Lick|Energy Conversion,10,"Gastly, Haunter, Gengar"
base3-34,First,Golbat,['Grass'],Pokémon,['Stage 1'],60.0,['Crobat'],Uncommon,Wing Attack|Leech Life,25,
base3-35,First,Golduck,['Water'],Pokémon,['Stage 1'],70.0,,Uncommon,Psyshock|Hyper Beam,15,
base3-36,First,Golem,['Fighting'],Pokémon,['Stage 2'],80.0,,Uncommon,Avalanche|Selfdestruct,80,
base3-37,First,Graveler,['Fighting'],Pokémon,['Stage 1'],60.0,['Golem'],Uncommon,Harden|Rock Throw,40,
base3-38,First,Kingler,['Water'],Pokémon,['Stage 1'],60.0,,Uncommon,Flail|Crabhammer,40,
base3-39,First,Magmar,['Fire'],Pokémon,['Basic'],70.0,['Magmortar'],Uncommon,Smokescreen|Smog,15,"Magmar, Magmortar"
base3-40,First,Omastar,['Water'],Pokémon,['Stage 2'],70.0,,Uncommon,Water Gun|Spike Cannon,32,
base3-41,First,Sandslash,['Fighting'],Pokémon,['Stage 1'],70.0,,Uncommon,Slash|Fury Swipes,20,
base3-42,First,Seadra,['Water'],Pokémon,['Stage 1'],60.0,['Kingdra'],Uncommon,Water Gun|Agility,20,
base3-43,First,Slowbro,['Psychic'],Pokémon,['Stage 1'],60.0,,Uncommon,Psyshock,20,
base3-44,First,Tentacruel,['Water'],Pokémon,['Stage 1'],60.0,,Uncommon,Supersonic|Jellyfish Sting,10,
base3-45,First,Weezing,['Grass'],Pokémon,['Stage 1'],60.0,,Uncommon,Smog|Selfdestruct,40,
base3-46,First,Ekans,['Grass'],Pokémon,['Basic'],40.0,['Arbok'],Common,Spit Poison|Wrap,20,"Ekans, Arbok"
base3-47,First,Geodude,['Fighting'],Pokémon,['Basic'],50.0,['Graveler'],Common,Stone Barrage,32,"Geodude, Graveler, Golem"
base3-48,First,Grimer,['Grass'],Pokémon,['Basic'],50.0,['Muk'],Common,Nasty Goo|Minimize,10,"Grimer, Muk"
base3-49,First,Horsea,['Water'],Pokémon,['Basic'],40.0,['Seadra'],Common,Smokescreen,10,"Horsea, Seadra, Kingdra"
base3-50,First,Kabuto,['Fighting'],Pokémon,['Stage 1'],30.0,['Kabutops'],Common,Scratch,10,
base3-51,First,Krabby,['Water'],Pokémon,['Basic'],50.0,['Kingler'],Common,Call for Family|Irongrip,20,"Krabby, Kingler"
base3-52,First,Omanyte,['Water'],Pokémon,['Stage 1'],40.0,['Omastar'],Common,Water Gun,32,
base3-53,First,Psyduck,['Water'],Pokémon,['Basic'],50.0,['Golduck'],Common,Headache|Fury Swipes,32,"Psyduck, Golduck"
base3-54,First,Shellder,['Water'],Pokémon,['Basic'],30.0,['Cloyster'],Common,Supersonic|Hide in Shell,32,"Shellder, Cloyster"
base3-55,First,Slowpoke,['Psychic'],Pokémon,['Basic'],50.0,"['Slowbro', 'Slowking']",Common,Spacing Out|Scavenge,32,"Slowpoke, Slowbro, Slowking"
base3-56,First,Tentacool,['Water'],Pokémon,['Basic'],30.0,['Tentacruel'],Common,Acid,10,"Tentacool, Tentacruel"
base3-57,First,Zubat,['Grass'],Pokémon,['Basic'],40.0,['Golbat'],Common,Supersonic|Leech Life,10,"Zubat, Golbat, Crobat"
base4-1,First,Alakazam,['Psychic'],Pokémon,['Stage 2'],80.0,,Rare Holo,Confuse Ray,30,
base4-2,First,Blastoise,['Water'],Pokémon,['Stage 2'],100.0,,Rare Holo,Hydro Pump,32,
base4-3,First,Chansey,['Colorless'],Pokémon,['Basic'],120.0,['Blissey'],Rare Holo,Scrunch|Double-edge,80,"Chansey, Blissey"
base4-4,First,Charizard,['Fire'],Pokémon,['Stage 2'],120.0,,Rare Holo,Fire Spin,100,
base4-5,First,Clefable,['Colorless'],Pokémon,['Stage 1'],70.0,,Rare Holo,Metronome|Minimize,32,
base4-6,First,Clefairy,['Colorless'],Pokémon,['Basic'],40.0,['Clefable'],Rare Holo,Sing|Metronome,32,"Clefairy, Clefable"
base4-7,First,Gyarados,['Water'],Pokémon,['Stage 1'],100.0,,Rare Holo,Dragon Rage|Bubblebeam,45,
base4-8,First,Hitmonchan,['Fighting'],Pokémon,['Basic'],70.0,,Rare Holo,Jab|Special Punch,30,Hitmonchan
base4-9,First,Magneton,['Lightning'],Pokémon,['Stage 1'],60.0,['Magnezone'],Rare Holo,Thunder Wave|Selfdestruct,55,
base4-10,First,Mewtwo,['Psychic'],Pokémon,['Basic'],60.0,,Rare Holo,Psychic|Barrier,32,Mewtwo
base4-11,First,Nidoking,['Grass'],Pokémon,['Stage 2'],90.0,,Rare Holo,Thrash|Toxic,20,
base4-12,First,Nidoqueen,['Grass'],Pokémon,['Stage 2'],90.0,,Rare Holo,Boyfriends|Mega Punch,50,
base4-13,First,Ninetales,['Fire'],Pokémon,['Stage 1'],80.0,,Rare Holo,Lure|Fire Blast,80,
base4-14,First,Pidgeot,['Colorless'],Pokémon,['Stage 2'],80.0,,Rare Holo,Wing Attack|Hurricane,25,
base4-15,First,Poliwrath,['Water'],Pokémon,['Stage 2'],90.0,,Rare Holo,Water Gun|Whirlpool,40,
base4-16,First,Raichu,['Lightning'],Pokémon,['Stage 1'],80.0,,Rare Holo,Agility|Thunder,40,
base4-17,First,Scyther,['Grass'],Pokémon,['Basic'],70.0,['Scizor'],Rare Holo,Swords Dance|Slash,30,"Scyther, Scizor, Kleavor"
base4-18,First,Venusaur,['Grass'],Pokémon,['Stage 2'],100.0,,Rare Holo,Solarbeam,60,
base4-19,First,Wigglytuff,['Colorless'],Pokémon,['Stage 1'],80.0,,Rare Holo,Lullaby|Do the Wave,32,
base4-20,First,Zapdos,['Lightning'],Pokémon,['Basic'],90.0,,Rare Holo,Thunder|Thunderbolt,80,Zapdos
base4-21,First,Beedrill,['Grass'],Pokémon,['Stage 2'],80.0,,Rare,Twineedle|Poison Sting,40,
base4-22,First,Dragonair,['Colorless'],Pokémon,['Stage 1'],80.0,['Dragonite'],Rare,Slam|Hyper Beam,20,
base4-23,First,Dugtrio,['Fighting'],Pokémon,['Stage 1'],70.0,,Rare,Slash|Earthquake,55,
base4-24,First,Electabuzz,['Lightning'],Pokémon,['Basic'],70.0,['Electivire'],Rare,Thundershock|Thunderpunch,10,"Electabuzz, Electivire"
